nom_equipement,port,interface_netwk,isis_level,isis_metric
PTN00274,4/2/3,TO_PTN00752_1/4/1,1,1000
PTN01823,1/2/8,TO_PTN02332_1/1/3,1,20
PTN00336,5/1/23,TO_PTN01108_1/4/3,1,100
PTN00318,5/2/20,TO_PTN00949_1/1/7,NA,NA
PTN00027,6/1/2,TO_PTN00334_LAG28,1,10
PTN00905,3/2/14,TO_PTN01775_1/3/1,1,1000
PTN00822,3/1/2,TO_PTN00665_LAG_20,1,10
PTN00209,8/2/15,TO_PTN00725_1/4/2,non trouve,non trouve
PTN00229,2/2/13,TO_PTN01400_LAG22,non trouve,non trouve
PTN00929,1/1/1,TO_PTN00926_1/2/1,NA,NA
PTN01446,2/1/1,TO_PTN02407_LAG21,1,10
PTN01929,1/2/2,TO_PTN00543_LAG-10,non trouve,non trouve
PTN00424,1/2/8,TO_PTN00425_1/1/7,NA,NA
PTN00621,1/1/1,TO_PTN01426_Lag-20,1,10
PTN01722,1/1/6,TO_PTN02393_3/1/6,1,100
PTN00191,4/1/20,TO_PTN00474_1/1/7,NA,NA
PTN00835,4/2/1,TO_PTN01098_1/1/7,NA,NA
PTN01437,1/2/5,TO_PTN02343_3/1/2,1,10
PTN01129,1/5/2,TO_PTN01495_1/4/1,non trouve,non trouve
PTN00293,1/5/8,TO_PTN01289_1/1/7,NA,NA
PTN00327,5/1/22,TO_PTN01234_1/1/7,NA,NA
PTN01093,1/1/5,TO_PTN00463_3/1/1,1,10
PTN02245,1/1/3,TO_PTN00096_LAG-21,1,10
PTN02392,1/1/5,TO_PTN01863_1/2/1,1,1000
PTN00321,2/1/2,TO_PTN00803_LAG20,1,10
PTN00418,1/1/8,TO_PTN00410_1/4/1,NA,NA
PTN00899,4/1/24,TO_PTN01872_1/2/6,1,100
PTN00039,2/2/4,TO_PTN00041_LAG_21,1,20
PTN01448,1/2/3,TO_PTN01725_1/2/1,1,100
PTN00172,4/2/1,TO_PTN02210_1/1/1,NA,NA
PTN00047,2/1/3,TO_PTN00048_LAG20,1,10
PTN01454,1/1/2,TO_PTN00773_9/1/9:90,1,10
PTN02360,3/2/14,TO_PTN00193_1/6/3,1,10
PTN02398,1/3/6,TO_PTN01447_1/2/5,1,1000
PTN00041,5/2/2,TO_PTN00133_LAG_22,1,40
PTN01461,1/3/2,TO_PTN01452_LAG21,1,100
PTN00246,3/1/4,TO_PTN00715_1/2/5,non trouve,non trouve
PTN00130,1/1/4,TO_PTN00131_LAG21,1,10
PTN00974,3/2/12,TO_PTN00679_3/2/12,1,1000
PTN02105,1/1/6,TO_PTN00021_7/1/3,1,10
PTN00180,1/8/3,TO_PTN00132_4/2/12,1,100
PTN00559,2/2/1,TO_PTN00240_3/2/2,1,100
PTN00105,4/1/1,TO_PTN00100_LAG21,1,10
PTN01930,1/1/7,TO_PTN01853_1/1/8,1,100
PTN00344,5/1/20,TO_PTN00777_1/1/7,NA,NA
PTN02193,1/1/1,TO_PTN02205_1/3/2,1,100
PTN00005,2/1/2,TO_PTN00001_LAG22,1,10
PTN00509,4/2/9,TO_PTN01881_1/1/1,non trouve,non trouve
PTN00267,2/1/1,TO_PTN00266_LAG_1,1,11
PTN00267,1/1/2,TO_PTN00272_LAG21,1,30
PTN02377,2/1/4,TO_PTN00825_LAG22,1,10
PTN01887,1/4/2,TO_PTN00650_3/2/19,NA,NA
PTN02343,1/1/2,TO_PTN01458_LAG-23,1,10
PTN01086,1/1/4,TO_PTN02406_LAG-21,1,10
PTN00591,1/1/7,TO_PTN00334_5/1/11,NA,NA
PTN00919,1/1/1,TO_PTN00615_1/1/1,1,10
PTN00247,1/1/1,TO_PTN00251_LAG_22,1,10
PTN00650,3/2/5,TO_PTN01427_4/1/7,1,90
PTN02394,2/1/1,TO_PTN02379_LAG21,1,10
PTN00320,2/1/2,TO_PTN02391_LAG20,1,10
PTN00684,4/2/1,TO_PTN01370_1/1/7,NA,NA
PTN02332,1/1/6,TO_PTN02007_4/2/21,non trouve,non trouve
PTN02447,1/1/1,TO_PTN00251_9/1/1,1,10
PTN00048,1/1/2,TO_PTN00047_LAG20,1,10
